folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant,cagua_tipo_desc,cagua_adqu_desc,cagua_mant_desc,cagua_capa_desc
176,1,1,1,3,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
177,1,1,1,3,2,6,3,De gas con deposito,Usado,Cada 2 años,De 70 a 80 litros (hasta 4 personas)
178,1,1,7,5,1,4,3,Solar,Nuevo,Cada 2 años,De 120 a 140 litros (hasta 7 personas)
179,1,1,1,4,1,5,2,De gas con deposito,Nuevo,Cada año,De 90 a 110 litros (hasta 6 personas)
179,1,2,7,5,1,4,2,Solar,Nuevo,Cada año,De 120 a 140 litros (hasta 7 personas)
180,1,1,1,1,1,5,1,De gas con deposito,Nuevo,Cada 6 meses,De 38 a 40 litros (hasta 2 personas)
181,1,1,1,1,1,10,1,De gas con deposito,Nuevo,Cada 6 meses,De 38 a 40 litros (hasta 2 personas)
182,1,1,4,0,1,1,4,Eléctrico instantáneo de paso,Nuevo,No le da mantenimiento,
183,1,1,7,1,1,2,4,Solar,Nuevo,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
186,1,1,1,1,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
187,1,2,7,3,1,5,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
187,1,1,3,0,1,5,4,De gas instantáneo de paso,Nuevo,No le da mantenimiento,
188,1,1,1,1,1,8,1,De gas con deposito,Nuevo,Cada 6 meses,De 38 a 40 litros (hasta 2 personas)
189,1,1,7,2,1,4,4,Solar,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
190,1,1,7,3,1,7,2,Solar,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
191,1,1,1,3,1,24,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
192,1,1,3,0,1,12,2,De gas instantáneo de paso,Nuevo,Cada año,
196,1,1,7,5,1,2,2,Solar,Nuevo,Cada año,De 120 a 140 litros (hasta 7 personas)
197,1,1,1,2,1,18,4,De gas con deposito,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
198,1,1,1,3,1,2,2,De gas con deposito,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
200,1,1,1,3,1,15,3,De gas con deposito,Nuevo,Cada 2 años,De 70 a 80 litros (hasta 4 personas)
201,1,1,2,0,1,2,2,De gas de rápida recuperación,Nuevo,Cada año,
202,1,1,1,2,1,7,4,De gas con deposito,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
205,1,1,7,9,1,3,4,Solar,Nuevo,No le da mantenimiento,No sabe
206,1,1,1,3,1,6,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
207,1,1,7,3,1,2,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
208,1,1,7,9,1,99,4,Solar,Nuevo,No le da mantenimiento,No sabe
213,1,1,1,9,1,1,1,De gas con deposito,Nuevo,Cada 6 meses,No sabe
215,1,1,1,9,2,10,1,De gas con deposito,Usado,Cada 6 meses,No sabe
220,1,1,1,3,2,6,1,De gas con deposito,Usado,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
221,1,2,7,4,1,2,1,Solar,Nuevo,Cada 6 meses,De 90 a 110 litros (hasta 6 personas)
221,1,1,1,4,1,2,4,De gas con deposito,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
222,1,1,7,3,1,1,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
223,1,1,1,2,1,2,4,De gas con deposito,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
224,1,1,1,9,1,10,2,De gas con deposito,Nuevo,Cada año,No sabe
225,1,1,3,0,1,3,2,De gas instantáneo de paso,Nuevo,Cada año,
226,1,1,7,2,1,2,4,Solar,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
227,1,1,3,0,2,2,1,De gas instantáneo de paso,Usado,Cada 6 meses,
230,1,1,3,0,1,2,1,De gas instantáneo de paso,Nuevo,Cada 6 meses,
232,1,1,7,3,1,3,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
233,1,1,7,2,1,2,2,Solar,Nuevo,Cada año,De 50 a 60 litros (hasta 3 personas)
234,1,1,7,3,1,3,1,Solar,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
235,1,1,3,0,1,2,1,De gas instantáneo de paso,Nuevo,Cada 6 meses,
236,1,1,7,4,1,5,2,Solar,Nuevo,Cada año,De 90 a 110 litros (hasta 6 personas)
237,1,1,1,3,2,3,3,De gas con deposito,Usado,Cada 2 años,De 70 a 80 litros (hasta 4 personas)
238,1,1,1,1,2,2,4,De gas con deposito,Usado,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
239,1,1,7,3,1,3,1,Solar,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
241,1,1,7,4,1,2,2,Solar,Nuevo,Cada año,De 90 a 110 litros (hasta 6 personas)
242,1,1,7,2,2,5,1,Solar,Usado,Cada 6 meses,De 50 a 60 litros (hasta 3 personas)
244,1,1,1,3,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
245,1,1,7,6,1,3,2,Solar,Nuevo,Cada año,Más de 140 litros (más de 7 personas)
246,1,1,1,4,1,12,3,De gas con deposito,Nuevo,Cada 2 años,De 90 a 110 litros (hasta 6 personas)
247,1,1,7,5,1,6,3,Solar,Nuevo,Cada 2 años,De 120 a 140 litros (hasta 7 personas)
250,1,1,2,0,1,2,4,De gas de rápida recuperación,Nuevo,No le da mantenimiento,
251,1,1,7,4,1,1,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
252,1,1,1,9,1,5,1,De gas con deposito,Nuevo,Cada 6 meses,No sabe
253,1,1,1,9,2,99,4,De gas con deposito,Usado,No le da mantenimiento,No sabe
254,1,1,7,5,1,2,4,Solar,Nuevo,No le da mantenimiento,De 120 a 140 litros (hasta 7 personas)
255,1,1,7,3,1,5,2,Solar,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
256,1,1,3,0,1,10,2,De gas instantáneo de paso,Nuevo,Cada año,
257,1,1,7,1,1,2,4,Solar,Nuevo,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
258,1,1,1,3,1,9,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
259,1,1,7,3,1,5,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
260,1,1,1,3,1,35,4,De gas con deposito,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
261,1,1,3,0,1,99,4,De gas instantáneo de paso,Nuevo,No le da mantenimiento,
262,1,1,1,2,2,5,1,De gas con deposito,Usado,Cada 6 meses,De 50 a 60 litros (hasta 3 personas)
264,1,1,1,1,1,1,4,De gas con deposito,Nuevo,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
266,1,1,1,2,1,8,4,De gas con deposito,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
267,1,1,7,4,1,1,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
268,1,1,3,0,1,2,2,De gas instantáneo de paso,Nuevo,Cada año,
271,1,1,1,4,1,15,1,De gas con deposito,Nuevo,Cada 6 meses,De 90 a 110 litros (hasta 6 personas)
279,1,1,1,3,2,4,4,De gas con deposito,Usado,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
280,1,1,1,3,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
