folio,foliohog,id_calefac,calef_tipo,calef_otro,calef_dia,calef_hor,calef_min,calef_adqu,calef_anio
6376,1,1,5,CALENTON DE LEÑA,150,12,00,2,25
6377,1,1,5,CALENTON DE LEÑA,12,03,00,1,06
6378,1,1,5,CALENTON DE LEÑA,30,03,00,2,99
6379,1,1,4, ,45,09,00,1,04
6382,1,1,5,CALENTON DE LE?A,20,05,00,1,10
6383,1,1,4, ,30,04,00,1,03
6385,1,1,5,CALENTON DE LE?A,6,04,00,2,03
6390,1,1,5,CHIMENEA DE LE?A,1,05,00,1,04
6391,1,1,5,CALENTON DE LEÑA,120,24,00,2,04
6392,1,1,4, ,60,03,00,1,05
6394,1,1,5,CALENTON DE LEÑA,60,05,00,1,04
