folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio
231,1,1,3,3,5,02,00, ,2, , , ,99
232,1,1,2,3,7,05,00, ,2,3, , ,02
233,1,1,2,3,7,02,00, , ,3, , ,01
234,1,2,2,2,3,01,00, , ,3, , ,01
234,1,1,2,3,2,04,00, , ,3, , ,02
235,1,2,3,4,7,03,00, , ,3, , ,04
235,1,1,2,4,7,01,00, , ,3, , ,02
235,1,3,2,2,3,01,00, , ,3, , ,05
236,1,2,2,2,7,01,00, , ,3, , ,08
236,1,3,2,2,3,01,00, , ,3, , ,04
236,1,1,2,2,7,01,00, , ,3, , ,01
237,1,2,1,3,7,04,00, , ,3, , ,02
237,1,1,2,2,7,02,00, ,2, , , ,05
238,1,1,2,2,7,02,00, , ,3, , ,02
239,1,1,2,3,7,02,00, , ,3, , ,01
239,1,4,2,3,7,01,00, , ,3, , ,02
239,1,3,2,3,7,01,00, , ,3, , ,02
239,1,2,2,2,7,01,00, , ,3, , ,03
240,1,1,2,4,7,08,00,1,2,3, , ,03
241,1,2,2,4,7,02,00, , ,3, , ,01
241,1,1,2,3,7,01,30, , ,3, , ,01
242,1,1,2,3,4,02,00, , ,3, , ,01
243,1,1,3,2,7,05,00, ,2,3, , ,03
243,1,2,3,2,7,01,00, , ,3, , ,02
244,1,1,2,2,7,03,00, ,2,3, , ,01
245,1,4,3,1,7,02,00, , ,3, , ,05
245,1,1,3,1,7,01,00, , ,3, , ,03
245,1,2,3,1,7,08,00,1,2,3, , ,03
245,1,3,3,1,3,03,00, ,2,3, , ,03
246,1,2,2,2,7,05,00, ,2,3, , ,05
246,1,1,2,3,7,05,00, , ,3, , ,02
247,1,2,2,2,5,01,00, , ,3, , ,03
247,1,1,3,4,7,01,00, , ,3, , ,04
248,1,1,2,2,7,08,00,1,2,3, , ,01
249,1,1,4,2,7,02,00, , ,3, , ,12
250,1,1,2,4,7,08,00,1,2,3, , ,05
251,1,1,3,2,7,08,00,1,2,3, , ,05
252,1,1,3,3,7,05,00,1, ,3, , ,03
253,1,1,3,3,7,06,00,1, ,3, , ,02
254,1,1,3,5,7,05,00, , ,3,4, ,03
254,1,2,3,4,7,05,00, ,2,3, , ,05
255,1,1,3,2,7,03,00, , ,3, , ,03
256,1,1,3,1,7,03,00, ,2,3, , ,07
257,1,1,3,2,7,03,00, , ,3, , ,02
258,1,1,3,4,3,06,00, , ,3, , ,09
259,1,1,3,4,7,01,00, , ,3, , ,04
260,1,1,3,1,7,06,00, , ,3, , ,08
260,1,2,4,3,7,01,00, , ,3, , ,35
261,1,1,3,2,5,03,00, , ,3, , ,02
262,1,1,4,1,7,06,00, , ,3, , ,99
264,1,1,3,2,7,06,00,1, ,3, , ,03
264,1,3,4,2,7,02,00, , ,3, , ,20
264,1,2,3,1,7,03,09, , ,3, , ,01
265,1,2,3,1,7,02,00, , ,3, , ,02
265,1,1,4,2,7,05,00, , ,3, , ,05
266,1,1,3,1,3,04,00, , ,3, , ,04
266,1,2,3,2,7,05,00,1, ,3, , ,02
267,1,1,2,2,7,04,00, ,2,3, , ,02
268,1,1,3,2,7,07,00,1,2,3, , ,04
269,1,2,4,1,7,06,00, ,2,3, , ,08
269,1,1,4,1,7,07,00, ,2,3, , ,10
270,1,1,3,1,7,03,00, , ,3, , ,02
271,1,1,3,2,7,04,00, ,2,3,4, ,08
271,1,2,3,1,5,00,30, , ,3, , ,08
272,1,1,2,2,7,02,00, , ,3, , ,02
272,1,2,2,1,7,08,00,1,2,3, , ,04
273,1,2,2,2,7,02,00, , ,3, , ,02
273,1,3,2,2,7,02,30, , ,3, , ,01
273,1,1,3,2,7,01,30, , ,3, , ,05
274,1,1,2,2,7,05,00,1,2, , , ,03
274,1,2,2,1,7,05,00,1, ,3, , ,06
275,1,1,2,1,7,08,00,1, ,3, , ,02
276,1,1,4,1,7,09,00, ,2,3, , ,06
276,1,2,2,1,7,02,00, , ,3, , ,01
278,1,1,3,1,7,04,00, , ,3, , ,02
279,1,1,2,1,7,03,00, , ,3, , ,03
280,1,1,2,1,7,04,30, ,2,3, , ,02
281,1,1,2,3,7,05,00,1,2,3, , ,05
281,1,2,3,2,7,03,00, , ,3, , ,02
282,1,2,2,2,4,01,00, , ,3, , ,01
282,1,1,2,3,7,03,00, , ,3, , ,02
283,1,1,4,3,7,08,00,1,2,3, , ,05
284,1,2,2,3,7,02,00, ,2, , , ,02
